,card,fouls_committed,fouls_suffered,goal,goals,league,player,season,shotoff,shoton,team,penalties,non_penalties
2727,[u'y'],21,8,[],0,7809,95228,2015/2016,8,5,9905,0,0
2728,"[u'y', u'y', u'y', u'y']",29,28,"['penalty', u'header', 'penalty', 'penalty', 'penalty', u'shot', 'penalty', u'shot', u'header', 'penalty', 'penalty']",11,7809,171091,2015/2016,23,17,8234,7,4
2729,"[u'y', u'y', u'y', u'y']",24,14,[u'volley'],1,7809,36380,2015/2016,2,3,8234,0,1
2730,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",45,58,"[u'header', u'distance', u'tap_in']",3,7809,185014,2015/2016,19,12,8234,0,3
2731,"[u'y', u'y']",3,2,[],0,7809,11242,2015/2016,0,1,8234,0,0
2732,[u'y'],29,18,"[u'shot', u'distance', u'shot', u'shot', u'shot']",5,7809,178804,2015/2016,24,14,9905,0,5
2733,[],18,41,"[u'shot', u'shot', u'lob', 'penalty', u'shot', u'shot', u'tap_in', u'shot', u'shot', u'shot', u'distance']",11,7809,278863,2015/2016,18,33,9905,1,10
2734,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",61,53,"[u'header', u'shot']",2,7809,59595,2015/2016,5,6,9905,0,2
2735,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",52,44,[u'header'],1,7809,239946,2015/2016,11,13,8234,0,1
2736,"[u'y', u'y', u'y']",48,79,[u'direct_freekick'],1,7809,34675,2015/2016,7,6,8234,0,1
2737,"[u'y', u'y', u'y']",13,34,[u'direct_freekick'],1,7809,94915,2015/2016,5,4,9905,0,1
2738,[u'y'],15,15,[],0,7809,171472,2015/2016,2,5,9905,0,0
2739,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",47,40,[u'tap_in'],1,7809,145536,2015/2016,14,3,8234,0,1
2740,[],9,10,[],0,7809,215804,2015/2016,3,2,8234,0,0
2741,"[u'y', u'y', u'y']",44,17,[u'header'],1,7809,193901,2015/2016,6,10,9905,0,1
2742,"[u'y', u'y']",46,22,"[u'tap_in', u'shot', u'shot', u'shot', u'shot', u'shot', u'header']",7,7809,459499,2015/2016,12,15,9905,0,7
2743,"[u'y', u'y', u'y', u'y', u'y']",25,27,[u'volley'],1,7809,555385,2015/2016,3,0,8234,0,1
2744,"[u'y', u'y', u'y']",29,35,"[u'shot', 'penalty', u'header', u'volley', u'header', u'shot']",6,7809,176831,2015/2016,8,16,8234,1,5
2745,"[u'y', u'y', u'r', u'y']",11,5,[],0,7809,94009,2015/2016,6,6,8234,0,0
2746,"[u'y', u'y', u'y', u'y', u'y']",29,17,[],0,7809,310355,2015/2016,2,1,8262,0,0
2747,"[u'y', u'y', u'y']",47,24,[],0,7809,179491,2015/2016,10,9,9904,0,0
2748,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",66,52,"[u'header', u'header']",2,7809,240367,2015/2016,18,13,9904,0,2
2749,"[u'y', u'y', u'y', u'y', u'y', u'y']",30,45,"[u'header', u'header', u'header', u'header', u'header', u'header', u'shot']",7,7809,119427,2015/2016,9,2,8262,0,7
2750,"[u'y', u'y', u'y', u'y']",17,19,[],0,7809,94876,2015/2016,3,6,8262,0,0
2751,[u'y'],14,23,[u'shot'],1,7809,237541,2015/2016,9,11,9904,0,1
2752,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",77,55,"[u'header', u'loose_ball']",2,7809,26545,2015/2016,13,8,8262,0,2
2753,"[u'y', u'y', u'y', u'y']",38,29,[u'shot'],1,7809,36186,2015/2016,6,4,9904,0,1
2754,[u'y'],13,9,[u'tap_in'],1,7809,29340,2015/2016,3,2,8262,0,1
2755,[],4,5,[],0,7809,26374,2015/2016,1,1,9904,0,0
2756,"[u'y', u'y', u'y', u'y']",36,47,[],0,7809,154245,2015/2016,4,7,8262,0,0
2757,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",67,68,"[u'shot', u'shot', u'shot']",3,7809,335436,2015/2016,12,4,8262,0,3
2758,[u'y'],18,34,"[u'distance', u'shot', u'shot']",3,7809,469763,2015/2016,20,24,9904,0,3
2759,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",18,36,"[u'shot', u'shot']",2,7809,115670,2015/2016,20,18,8262,0,2
2760,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",45,54,"[u'shot', u'shot', u'header', u'shot', u'volley', u'shot']",6,7809,36554,2015/2016,15,11,8262,0,6
2761,[u'y'],24,34,[],0,7809,80229,2015/2016,3,5,9904,0,0
2762,"[u'y', u'y', u'y', u'y']",23,5,[u'header'],1,7809,78908,2015/2016,2,3,9904,0,1
2763,"[u'y', u'y', u'y']",0,5,[],0,7809,41087,2015/2016,0,0,9904,0,0
2764,[],11,10,[],0,7809,27485,2015/2016,3,5,8262,0,0
2765,"[u'y', u'y', u'y', u'y']",11,20,[],0,7809,303913,2015/2016,2,1,9904,0,0
2766,[],8,2,[u'shot'],1,7809,112119,2015/2016,2,3,9904,0,1
2767,"[u'y', u'y', u'y', u'y', u'y', u'y']",36,12,"[u'header', u'loose_ball']",2,7809,25483,2015/2016,0,2,9904,0,2
2768,"[u'y', u'y', u'y']",38,19,"[u'shot', u'shot', u'shot', u'volley', u'shot', u'shot', u'shot']",7,7809,69008,2015/2016,5,18,9904,0,7
2769,[],20,15,[],0,7809,141114,2015/2016,11,14,8262,0,0
2770,[],0,10,[],0,7809,212815,2015/2016,0,0,8722,0,0
2771,[],11,47,"[u'shot', u'volley', u'shot', u'tap_in']",4,7809,429265,2015/2016,18,15,9823,0,4
2772,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",23,21,"[u'volley', u'header']",2,7809,36934,2015/2016,6,9,8722,0,2
2773,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",34,39,"[u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'header']",8,7809,201888,2015/2016,8,22,8406,0,8
2774,[u'y'],14,9,[],0,7809,37374,2015/2016,2,1,9789,0,0
2775,[],2,4,[],0,7809,39106,2015/2016,3,3,8406,0,0
2776,[],21,29,"[u'header', u'shot', u'header']",3,7809,303912,2015/2016,8,3,9789,0,3
2777,[],9,4,[u'header'],1,7809,114650,2015/2016,3,3,8406,0,1
2778,[u'y'],14,2,[u'header'],1,7809,27425,2015/2016,1,3,8406,0,1
2779,[u'y'],2,5,[],0,7809,112978,2015/2016,0,0,9789,0,0
2780,"[u'y', u'y']",27,12,[],0,7809,242308,2015/2016,1,11,8406,0,0
2781,[],20,15,"[u'volley', u'header', u'shot', u'shot', u'header', u'shot', u'shot', u'tap_in', u'shot']",9,7809,50345,2015/2016,11,10,9789,0,9
2782,[u'y'],12,21,"[u'header', u'shot', u'distance']",3,7809,27427,2015/2016,5,11,9789,0,3
2783,"[u'y', u'y', u'y', u'y']",40,17,"[u'volley', u'shot', u'distance']",3,7809,185175,2015/2016,8,14,8178,0,3
2784,"[u'y', u'y', u'y']",31,19,[],0,7809,97734,2015/2016,2,4,10269,0,0
2785,"[u'y', u'y', u'y', u'y', u'y', u'y']",28,47,"[u'tap_in', u'header', u'header', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', 'penalty', u'shot', u'header', u'distance', u'shot', u'shot', u'distance']",17,7809,70409,2015/2016,24,25,8178,1,16
2786,"[u'y', u'y', u'y2', u'y', u'y', u'y', u'y']",16,10,[u'header'],1,7809,143442,2015/2016,5,0,10269,0,1
2787,"[u'y', u'r']",10,4,[u'shot'],1,7809,27310,2015/2016,3,0,8178,0,1
2788,[],31,34,"[u'shot', u'header', u'header', u'shot', u'shot', u'header']",6,7809,450980,2015/2016,27,32,10269,0,6
2789,[],2,0,[],0,7809,660897,2015/2016,1,0,10269,0,0
2790,"[u'y', u'y']",22,14,[u'header'],1,7809,109615,2015/2016,4,5,8178,0,1
2791,[u'y'],4,1,[],0,7809,660896,2015/2016,0,0,10269,0,0
2792,"[u'y', u'y', u'y']",29,27,[],0,7809,266523,2015/2016,8,14,10189,0,0
2793,"[u'y', u'y', u'y', u'y']",39,44,"[u'header', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot']",8,7809,530859,2015/2016,21,33,10189,0,8
2794,"[u'y', u'y', u'y', u'y']",20,12,[u'shot'],1,7809,278815,2015/2016,1,1,9788,0,1
2795,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",36,16,[],0,7809,172887,2015/2016,5,6,10189,0,0
2796,[u'y'],11,27,"[u'shot', u'header', u'shot']",3,7809,449232,2015/2016,8,3,9788,0,3
2797,"[u'y', u'y', u'y', u'y']",10,10,[u'header'],1,7809,68253,2015/2016,6,2,10189,0,1
2798,"[u'y', u'y', u'y']",14,9,[],0,7809,31290,2015/2016,0,0,10189,0,0
2799,"[u'y', u'y', u'y', u'y']",19,43,"[u'distance', u'shot', u'distance', u'shot', u'tap_in']",5,7809,425963,2015/2016,10,30,10189,0,5
2800,[u'y'],22,16,"[u'shot', u'shot', u'shot', u'tap_in', u'shot', u'header', 'penalty', u'shot']",8,7809,243829,2015/2016,10,10,9788,1,7
2801,"[u'y', u'y', u'y', u'y']",26,26,"[u'shot', u'direct_freekick', u'distance', u'volley']",4,7809,37292,2015/2016,9,8,9788,0,4
2802,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",43,35,"[u'shot', u'shot']",2,7809,355357,2015/2016,8,24,9810,0,2
2803,[],11,30,"['penalty', 'penalty', u'shot', u'shot', u'volley']",5,7809,115847,2015/2016,11,10,9904,2,3
2804,"[u'y', u'y']",5,11,[],0,7809,28081,2015/2016,1,4,9810,0,0
2805,[u'y'],23,19,[u'shot'],1,7809,116645,2015/2016,4,4,9904,0,1
2806,"[u'y', u'y2']",12,8,[u'header'],1,7809,119838,2015/2016,1,0,9810,0,1
2807,[],3,5,[],0,7809,37087,2015/2016,1,0,9810,0,0
2808,"[u'y', u'y', u'y', u'y']",21,14,"[u'header', u'shot']",2,7809,27314,2015/2016,8,8,9904,0,2
2809,"[u'y', u'y']",21,14,[u'header'],1,7809,307069,2015/2016,3,5,9790,0,1
2810,[],3,1,[],0,7809,36774,2015/2016,1,2,8226,0,0
2811,"[u'y', u'y', u'y']",37,41,"[u'shot', u'shot', u'header', u'shot']",4,7809,39847,2015/2016,23,16,9790,0,4
2812,"[u'y', u'y2', u'y', u'y']",12,22,[],0,7809,177942,2015/2016,4,2,8226,0,0
2813,"[u'y', u'y', u'y', u'y', u'y', u'y']",54,30,"[u'shot', u'volley', u'distance', u'shot', u'shot', u'shot', u'shot', u'header', u'lob']",9,7809,97747,2015/2016,9,16,9790,0,9
2814,[],9,17,[u'shot'],1,7809,443966,2015/2016,2,2,8226,0,1
2815,[u'y'],25,16,"[u'shot', u'shot']",2,7809,50661,2015/2016,16,10,8226,0,2
2816,"[u'y', u'y', u'y', u'y', u'y']",31,52,[],0,7809,240348,2015/2016,10,0,9790,0,0
2817,"[u'y', u'y', u'y', u'y']",29,35,"[u'shot', u'shot', u'shot', u'shot']",4,7809,614449,2015/2016,15,18,8226,0,4
2818,[u'y'],5,6,[],0,7809,49847,2015/2016,4,5,9790,0,0
2819,[],7,5,[],0,7809,180126,2015/2016,1,0,9905,0,0
2820,"[u'y', u'y']",20,12,[],0,7809,36000,2015/2016,2,1,9905,0,0
2821,[u'y'],4,6,[],0,7809,49885,2015/2016,1,2,9905,0,0
2822,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",37,33,[],0,7809,162679,2015/2016,13,7,9905,0,0
2823,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",46,54,[],0,7809,196205,2015/2016,5,8,8697,0,0
2824,"[u'y', u'y', u'y', u'y']",18,18,[u'header'],1,7809,147726,2015/2016,6,1,9905,0,1
2825,[u'y'],28,32,"[u'shot', u'shot', u'header', u'shot']",4,7809,130118,2015/2016,9,14,9905,0,4
2826,"[u'y', u'y', u'y']",33,21,"[u'volley', u'volley', u'shot', 'penalty', u'header', 'penalty', u'header', u'lob', 'penalty', u'header', u'shot', 'penalty', 'penalty', u'shot']",14,7809,25366,2015/2016,14,17,8697,5,9
2827,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",27,55,"[u'deflected', u'shot']",2,7809,298823,2015/2016,6,6,8177,0,2
2828,[],2,14,['penalty'],1,7809,27306,2015/2016,3,2,8177,1,0
2829,"[u'y', u'y', u'y']",26,20,[],0,7809,531014,2015/2016,7,9,8234,0,0
2830,"[u'y', u'y']",10,14,[],0,7809,45254,2015/2016,10,4,8234,0,0
2831,[u'y'],2,0,[],0,7809,150292,2015/2016,3,1,8234,0,0
2832,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",41,24,[u'shot'],1,7809,147729,2015/2016,11,13,8721,0,1
2833,"[u'r', u'y', u'y', u'y', u'y']",24,13,"[u'tap_in', u'volley', u'shot', u'shot', u'shot']",5,7809,243164,2015/2016,12,17,8721,0,5
2834,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y2', u'y', u'y']",80,59,"[u'header', u'shot', u'tap_in', u'loose_ball', u'header', 'penalty', u'header', u'shot', u'shot', u'tap_in', u'shot', 'penalty', u'header', u'header']",14,7809,36889,2015/2016,38,19,8262,2,12
2835,"[u'y', u'y']",32,31,[],0,7809,27774,2015/2016,5,2,8721,0,0
2836,"[u'y', u'y', u'y', u'y2', u'y', u'y', u'y2', u'y']",31,16,[u'shot'],1,7809,38432,2015/2016,8,7,8721,0,1
2837,[u'y'],0,3,[],0,7809,30820,2015/2016,0,0,8721,0,0
2838,"[u'y', u'y', u'y', u'y', u'y']",25,24,"[u'shot', u'shot', u'shot', u'volley', u'distance', u'lob', u'shot', u'deflected', u'shot']",9,7809,178812,2015/2016,25,34,8721,0,9
2839,"[u'y', u'y']",26,14,[],0,7809,27352,2015/2016,11,6,8262,0,0
2840,"[u'y', u'y']",11,12,[],0,7809,51841,2015/2016,1,1,8262,0,0
2841,"[u'y', u'y', u'y', u'y']",40,43,"[u'shot', u'volley']",2,7809,188498,2015/2016,14,25,8721,0,2
2842,"[u'y', u'y', u'y', u'y', u'y']",32,13,[u'shot'],1,7809,304345,2015/2016,4,4,10189,0,1
2843,[u'y'],0,7,[],0,7809,42909,2015/2016,0,0,8234,0,0
2844,"[u'y', u'y']",6,4,"[u'shot', u'tap_in']",2,7809,36410,2015/2016,7,2,8721,0,2
2845,[u'y'],4,7,[],0,7809,167065,2015/2016,2,1,8721,0,0
2846,"[u'y', u'y', u'y', u'y']",11,20,[],0,7809,191080,2015/2016,1,1,8178,0,0
2847,[u'y'],12,12,[u'shot'],1,7809,204169,2015/2016,4,6,9904,0,1
2848,[u'y'],4,5,[u'shot'],1,7809,466482,2015/2016,2,4,9904,0,1
2849,"[u'y', u'y']",4,4,[],0,7809,129462,2015/2016,0,0,9904,0,0
2850,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y2']",38,27,[u'shot'],1,7809,132843,2015/2016,9,6,10269,0,1
2851,[u'y'],20,20,[u'distance'],1,7809,298923,2015/2016,12,20,10269,0,1
2852,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",29,8,[],0,7809,41930,2015/2016,0,1,8262,0,0
2853,"[u'y', u'y', u'y2', u'y', u'y']",17,14,[],0,7809,45272,2015/2016,8,2,10269,0,0
2854,"[u'y', u'y']",15,16,"[u'shot', u'shot']",2,7809,36379,2015/2016,5,5,8262,0,2
2855,[u'y'],4,9,[],0,7809,72707,2015/2016,5,6,8406,0,0
2856,"[u'y', u'y']",11,8,[],0,7809,278823,2015/2016,1,0,8697,0,0
2857,[],10,9,[],0,7809,130667,2015/2016,1,2,9789,0,0
2858,"[u'y', u'y', u'y']",17,8,[u'deflected'],1,7809,303484,2015/2016,1,1,8697,0,1
2859,"[u'y', u'y', u'y', u'y']",2,7,[],0,7809,177953,2015/2016,1,0,8697,0,0
2860,[],4,2,[],0,7809,493160,2015/2016,0,1,8697,0,0
2861,[],3,1,[],0,7809,620578,2015/2016,1,0,8697,0,0
2862,"[u'y', u'y']",16,10,[u'header'],1,7809,37410,2015/2016,5,0,9823,0,1
2863,"[u'y', u'y2']",21,14,"[u'distance', u'header', u'volley', u'deflected', u'loose_ball', u'shot', u'shot', u'header', u'shot', u'header', u'shot', 'penalty']",12,7809,27478,2015/2016,15,26,9810,1,11
2864,[],0,2,[],0,7809,27299,2015/2016,0,0,9823,0,0
2865,"[u'y', u'y', u'r', u'y', u'y', u'y', u'y', u'y', u'y']",45,34,"[u'loose_ball', u'shot']",2,7809,119525,2015/2016,2,9,8226,0,2
2866,"[u'y', u'y', u'y']",20,46,[],0,7809,307210,2015/2016,5,3,8722,0,0
2867,[],0,1,[],0,7809,459493,2015/2016,1,0,8722,0,0
2868,"[u'y', u'y']",8,6,[u'volley'],1,7809,177941,2015/2016,3,10,8722,0,1
2869,"[u'y', u'y']",15,18,[],0,7809,212881,2015/2016,13,9,8177,0,0
2870,[u'y'],5,6,[],0,7809,114044,2015/2016,0,0,9788,0,0
2871,[],1,2,[],0,7809,40605,2015/2016,1,1,8177,0,0
2872,"[u'y', u'y', u'y']",11,25,[],0,7809,460632,2015/2016,1,4,9823,0,0
2873,[],1,5,[],0,7809,276700,2015/2016,0,1,10269,0,0
2874,[u'y'],1,0,[],0,7809,614212,2015/2016,0,0,10189,0,0
2875,[],0,3,[u'shot'],1,7809,22824,2015/2016,3,0,8722,0,1
2876,"[u'y', u'y', u'y', u'y', u'y']",17,8,[],0,7809,251244,2015/2016,5,1,8178,0,0
2877,"[u'y', u'y', u'y', u'y']",17,20,[],0,7809,240537,2015/2016,4,2,8234,0,0
2878,[],9,6,[],0,7809,164259,2015/2016,3,2,8697,0,0
2879,[],2,10,[],0,7809,668362,2015/2016,0,0,8177,0,0
2880,"[u'y', u'y']",0,4,[],0,7809,40094,2015/2016,0,0,8177,0,0
2881,[],8,3,[],0,7809,667790,2015/2016,2,1,9905,0,0
2882,"[u'y', u'y']",48,55,"[u'shot', u'distance', u'shot', u'shot', u'header']",5,7809,291425,2015/2016,12,15,9905,0,5
2883,"[u'y', u'y']",14,12,[],0,7809,157252,2015/2016,5,6,9790,0,0
2884,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",28,16,[],0,7809,78314,2015/2016,4,6,9904,0,0
2885,[],0,1,[],0,7809,536440,2015/2016,0,0,8697,0,0
2886,[u'y'],8,11,[u'shot'],1,7809,37317,2015/2016,5,6,8721,0,1
2887,"[u'y', u'y', u'y']",25,12,[u'header'],1,7809,16300,2015/2016,1,3,9790,0,1
2888,[],6,3,[],0,7809,449241,2015/2016,1,2,9789,0,0
2889,"[u'y', u'y']",7,2,[u'shot'],1,7809,261653,2015/2016,3,2,8178,0,1
2890,"[u'y', u'y']",19,19,"[u'volley', u'shot']",2,7809,433951,2015/2016,9,11,8234,0,2
2891,"[u'y', u'y']",15,15,[],0,7809,174093,2015/2016,6,4,8234,0,0
2892,"[u'y', u'y', u'y', u'y']",21,10,[u'shot'],1,7809,93064,2015/2016,5,0,8262,0,1
2893,"[u'y', u'y', u'y', u'y', u'y', u'r']",45,36,"[u'tap_in', u'volley', u'shot', u'shot', u'tap_in', u'header', u'header', u'shot', u'shot', u'shot']",10,7809,36084,2015/2016,21,28,8177,0,10
2894,[],3,3,[],0,7809,94886,2015/2016,0,0,9823,0,0
2895,[u'y'],13,5,[u'tap_in'],1,7809,141370,2015/2016,5,2,9823,0,1
2896,"[u'y', u'y', u'y', u'y', u'y']",24,9,"[u'header', u'tap_in', u'header']",3,7809,29471,2015/2016,3,3,10269,0,3
2897,[],2,2,[],0,7809,103686,2015/2016,2,0,10269,0,0
2898,"[u'y', u'y', u'y', u'r']",4,2,[],0,7809,27424,2015/2016,0,0,9790,0,0
2899,[],3,2,[],0,7809,602523,2015/2016,1,1,8697,0,0
2900,[],5,9,[],0,7809,27866,2015/2016,5,1,8226,0,0
2901,[],2,3,[],0,7809,258245,2015/2016,2,0,9788,0,0
2902,[u'y'],2,4,[],0,7809,459000,2015/2016,1,0,9905,0,0
2903,[u'y'],4,9,[],0,7809,448859,2015/2016,1,4,9810,0,0
2904,[u'y'],4,4,[],0,7809,158257,2015/2016,2,0,9810,0,0
2905,"[u'y', u'y']",17,16,[],0,7809,517346,2015/2016,0,2,9788,0,0
2906,[u'y'],10,13,"[u'shot', u'bicycle_kick']",2,7809,30924,2015/2016,4,4,9823,0,2
2907,"[u'y', u'y']",25,32,['penalty'],1,7809,27316,2015/2016,6,17,9790,1,0
2908,[],0,1,[],0,7809,178784,2015/2016,0,0,9905,0,0
2909,"[u'y', u'y', u'y']",0,5,[],0,7809,448805,2015/2016,0,0,8262,0,0
2910,[u'y'],13,10,[],0,7809,212377,2015/2016,5,2,8722,0,0
2911,[],0,3,[],0,7809,215168,2015/2016,0,0,8178,0,0
2912,[],0,5,[],0,7809,602524,2015/2016,2,0,8234,0,0
2913,[u'y'],4,4,[],0,7809,667787,2015/2016,3,1,8178,0,0
2914,[],1,0,[],0,7809,614961,2015/2016,0,0,9904,0,0
2915,[],5,2,[],0,7809,273185,2015/2016,0,0,10269,0,0
2916,[],0,0,[],0,7809,535936,2015/2016,0,2,8226,0,0
2917,[],1,0,[],0,7809,543288,2015/2016,0,1,8721,0,0
2918,[u'y'],0,0,[],0,7809,432435,2015/2016,0,0,8697,0,0
2919,[],2,9,[u'shot'],1,7809,331542,2015/2016,1,3,9789,0,1
2920,[],2,6,[],0,7809,207039,2015/2016,0,1,8234,0,0
2921,"[u'y', u'y']",15,11,"[u'shot', u'header']",2,7809,179511,2015/2016,5,6,10189,0,2
2922,"[u'y', u'y']",9,7,[u'shot'],1,7809,331528,2015/2016,5,5,9789,0,1
2923,[],3,2,[],0,7809,331542,2015/2016,4,4,9788,0,0
2924,[u'y'],13,5,"[u'header', u'shot']",2,7809,79982,2015/2016,6,8,9790,0,2
2925,"[u'y', u'y', u'y', u'y', u'y']",31,32,[u'volley'],1,7809,39045,2015/2016,4,14,9810,0,1
2926,"[u'y', u'y']",18,21,[],0,7809,111897,2015/2016,9,9,9810,0,0
2927,[u'y'],10,10,[],0,7809,259439,2015/2016,4,6,8722,0,0
2928,"[u'y', u'y', u'y']",11,9,[],0,7809,94652,2015/2016,2,4,10269,0,0
2929,[u'y'],16,5,[u'header'],1,7809,107717,2015/2016,9,5,10269,0,1
2930,[u'y'],4,6,[u'shot'],1,7809,37550,2015/2016,9,5,9904,0,1
2931,"[u'y', u'y']",7,4,[],0,7809,212915,2015/2016,0,2,9904,0,0
2932,"[u'y', u'y']",15,11,[],0,7809,36774,2015/2016,7,4,9904,0,0
2933,"[u'y', u'y']",0,4,[],0,7809,114737,2015/2016,0,0,8406,0,0
2934,"[u'y', u'y', u'y', u'y2', u'y', u'y', u'y']",12,12,[],0,7809,427062,2015/2016,1,1,8178,0,0
2935,[u'y'],7,4,[u'volley'],1,7809,117432,2015/2016,1,3,8226,0,1
2936,"[u'y', u'y2']",10,12,"[u'header', u'shot', u'shot', 'penalty', u'shot']",5,7809,173461,2015/2016,11,25,8226,1,4
2937,"[u'y', u'y', u'y']",15,10,[u'shot'],1,7809,426873,2015/2016,4,1,9905,0,1
2938,"[u'y', u'y', u'y', u'y']",32,33,"[u'direct_freekick', u'shot']",2,7809,104646,2015/2016,15,9,8234,0,2
2939,[],3,11,[],0,7809,212892,2015/2016,3,5,9789,0,0
2940,[u'y'],5,3,[],0,7809,176201,2015/2016,2,0,9904,0,0
2941,[u'y'],15,12,[],0,7809,28435,2015/2016,3,1,8722,0,0
2942,"[u'y', u'y', u'y', u'y', u'y', u'y']",14,20,"[u'deflected', u'tap_in']",2,7809,193866,2015/2016,8,10,8697,0,2
2943,[u'y'],3,3,[],0,7809,40985,2015/2016,0,1,8177,0,0
2944,[],5,3,[],0,7809,195207,2015/2016,4,1,9788,0,0
2945,[],1,1,[],0,7809,130667,2015/2016,0,0,9905,0,0
2946,[u'y'],0,5,[],0,7809,287894,2015/2016,0,0,9905,0,0
2947,"[u'y', u'y']",10,7,[u'distance'],1,7809,282182,2015/2016,2,4,8406,0,1
2948,"[u'y', u'y', u'y', u'y']",16,11,[],0,7809,158234,2015/2016,1,2,9810,0,0
2949,"[u'y', u'y']",6,10,[],0,7809,103686,2015/2016,3,3,8178,0,0
2950,"[u'y', u'y']",5,4,[],0,7809,71399,2015/2016,2,1,9789,0,0
2951,[u'y'],7,7,[u'shot'],1,7809,259296,2015/2016,0,1,8721,0,1
2952,[u'y'],9,8,[],0,7809,638778,2015/2016,3,2,8721,0,0
2953,[],1,0,[],0,7809,724360,2015/2016,0,0,8721,0,0
2954,[],1,0,[],0,7809,604088,2015/2016,0,0,10189,0,0
2955,[u'y'],8,12,"[u'shot', u'shot', u'shot']",3,7809,461357,2015/2016,4,6,10189,0,3
2956,[],5,4,[],0,7809,467318,2015/2016,1,3,8697,0,0
2957,[],3,4,[],0,7809,637199,2015/2016,0,0,8697,0,0
2958,"[u'y', u'y']",4,3,[u'tap_in'],1,7809,194533,2015/2016,2,2,9790,0,1
2959,[u'y'],4,9,[],0,7809,668362,2015/2016,2,0,9810,0,0
2960,"[u'y', u'r', u'y', u'y', u'y']",11,24,[],0,7809,191080,2015/2016,0,0,9905,0,0
2961,[u'y'],12,5,[],0,7809,169569,2015/2016,3,3,9904,0,0
2962,"[u'y', u'y', u'y']",24,9,"[u'header', 'penalty', u'shot', u'header', u'shot', u'shot', u'header']",7,7809,129918,2015/2016,7,16,8406,1,6
2963,[u'y'],3,9,"[u'shot', u'tap_in']",2,7809,688295,2015/2016,5,2,9789,0,2
2964,[u'y'],1,2,[],0,7809,170322,2015/2016,0,0,8721,0,0
2965,[u'y'],4,3,[],0,7809,141161,2015/2016,0,0,8177,0,0
2966,"[u'r', u'y', u'y']",16,3,[],0,7809,245315,2015/2016,0,2,8406,0,0
2967,[],8,4,[],0,7809,664585,2015/2016,1,6,8226,0,0
2968,"[u'y', u'y']",13,13,[u'shot'],1,7809,27155,2015/2016,6,4,9810,0,1
2969,[u'y'],3,3,[],0,7809,614212,2015/2016,2,0,8262,0,0
2970,[u'y'],3,1,[],0,7809,36146,2015/2016,1,0,9823,0,0
2971,"[u'y', u'y']",12,13,[],0,7809,282691,2015/2016,2,4,9823,0,0
2972,[],3,1,[],0,7809,726692,2015/2016,0,3,8722,0,0
2973,"[u'y', u'y', u'y2', u'y']",21,25,"[u'header', u'header']",2,7809,425962,2015/2016,6,6,8177,0,2
2974,"[u'y', u'y', u'y']",18,9,[u'tap_in'],1,7809,166917,2015/2016,3,2,8697,0,1
2975,[u'y'],9,7,[],0,7809,27365,2015/2016,2,3,9789,0,0
2976,[],9,6,[],0,7809,375732,2015/2016,4,7,9904,0,0
2977,"[u'y', u'y']",5,7,[],0,7809,29543,2015/2016,0,0,8406,0,0
2978,[u'y'],1,1,[],0,7809,556029,2015/2016,1,0,9904,0,0
2979,[],3,8,[],0,7809,212814,2015/2016,6,0,9810,0,0
2980,[],1,2,[],0,7809,637753,2015/2016,0,0,9789,0,0
2981,[],3,0,[],0,7809,515333,2015/2016,0,0,8697,0,0
2982,[u'y'],10,11,[u'shot'],1,7809,176953,2015/2016,4,4,9905,0,1
2983,[],0,1,[],0,7809,71560,2015/2016,1,2,10189,0,0
2984,[u'y'],0,6,[],0,7809,178778,2015/2016,0,0,8226,0,0
2985,[],1,3,[],0,7809,527104,2015/2016,1,0,8406,0,0
2986,[],3,1,[],0,7809,162680,2015/2016,0,0,8262,0,0
2987,[u'y'],9,1,[],0,7809,120845,2015/2016,1,2,9790,0,0
